from,to ,death,team_1,team_2,motivation
l,wilmcd,0,12,0,0
l,jampat,1,12,0,0
l,robbri,2,14,0,0
l,edwmck,1,14,0,0
l,albbur,1,14,0,0
l,bersto,1,14,0,0
l,angmcd,1,14,0,0
l,thomcg,0,14,0,0
l,chalam,1,14,0,0
l,wilnea,0,16,0,0
prispej,j,0,0,0,2
nobshi,j,1,1,0,0
naonom,j,1,2,0,0
masike,j,1,7,0,0
seimii,j,1,10,7,0
shihan,j,1,13,0,0
kotmiu,j,1,11,0,0
susmur,j,1,9,12,0
gennis,j,1,16,0,0
keitad,j,1,12,7,0
yastai,j,1,8,0,0
tertak,j,1,7,0,0
chiwat,j,1,12,11,0
yasyam,j,1,13,0,0
yosyos,j,1,12,0,0
yosfuk,j,1,12,0,0
mioham,j,1,14,0,0
giskam,j,1,15,0,0
yukmiy,j,1,12,0,0
heisak,j,1,4,5,0
ichsat,j,1,15,0,0
kanshi,j,1,12,0,0
yosshi,j,1,12,0,0
kotshi,j,1,9,0,0
roksug,j,1,14,0,0
sajtak,j,1,12,0,0
sumtak,j,1,14,0,0
zentan,j,1,4,0,0
hirtoh,j,1,14,9,0
tomtsu,j,1,5,4,0
kitwat,j,1,15,0,0
isayas,j,1,12,0,0
ottono,e,1,7,1,0
wibruc,f,2,1,7,0
